url,price,year,name,ID,Marca,Modelo,Versión,Año,Cilindrada,Kilómetros,Puertas,Tipo de combustible,Placa
https://articulo.tucarro.com.co/MCO-554452796-mercedes-benz-clase-c-200-coupe-_JM#position=34&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,125.000.000,2019 | 8000 km,Mercedes-benz Clase C C 200 Coupe,MCO554452796,Mercedes-Benz,Clase C,C 200 Coupe,2019,2000 cc,8.000 km,2,Gasolina,KFZ384
https://articulo.tucarro.com.co/MCO-554453404-kompressor-c200-full-equipo-_JM#position=35&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,40.000.000,2009 | 129000 km,Mercedes-benz Clase C Mercedes Kompresor,MCO554453404,Mercedes-Benz,Clase C,mercedes kompresor,2009,2000 cc,129.000 km,4,Gasolina,7
https://articulo.tucarro.com.co/MCO-548283020-mercedes-benz-c-180-2012-5-pasajeros-_JM#position=36&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,53.000.000,2012 | 64636 km,Mercedes-benz Clase C C 180,MCO548283020,Mercedes-Benz,Clase C,c 180,2012,,64.636 km,5,Gasolina,Impar
https://articulo.tucarro.com.co/MCO-547293287-mercedes-c180-motor-1796cc-2009-gris-5-puertas-_JM#position=37&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,35.800.000,2009 | 138000 km,Mercedes-benz Clase C Kompressor,MCO547293287,Mercedes-Benz,Clase C,Kompressor,2009,1796 cc,138.000 km,5,Gasolina,DCG185
https://articulo.tucarro.com.co/MCO-553380586-mercedes-c280-_JM#position=38&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,16.500.000,1997 | 162000 km,Mercedes-benz Clase C C280,MCO553380586,Mercedes-Benz,Clase C,c280,1997,,162.000 km,4,Gasolina,bir724
https://articulo.tucarro.com.co/MCO-548507061-mercedes-benz-clase-c-c250-coupe-2013-_JM#position=39&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,65.900.000,2013 | 50700 km,Mercedes-benz Clase C C250,MCO548507061,Mercedes-Benz,Clase C,C250,2013,1800 cc,50.700 km,2,Gasolina,MSR949
https://articulo.tucarro.com.co/MCO-550256027-mercedez-benz-240c-5-pasajeros-_JM#position=40&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,21.000.000,1999 | 116094 km,Mercedes-benz Clase C 240 C,MCO550256027,Mercedes-Benz,Clase C,240 C,1999,2398 cc,116.094 km,4,Gasolina,BLD191
https://articulo.tucarro.com.co/MCO-553588637-mercedes-benz-c180-_JM#position=41&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,51.000.000,2013 | 44000 km,Mercedes-benz Clase C C180 Turbo Cargado,MCO553588637,Mercedes-Benz,Clase C,C180 turbo cargado,2013,1600 cc,44.000 km,5,Gasolina,Hiu837
https://articulo.tucarro.com.co/MCO-549767202-mercedes-benz-clase-c-c180-kompressor-2007-_JM#position=42&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,30.000.000,2007 | 120000 km,Mercedes-benz Clase C 180 Kompressor,MCO549767202,Mercedes-Benz,Clase C,180 Kompressor,2007,1800 cc,120.000 km,4,Gasolina,BZJ035
https://articulo.tucarro.com.co/MCO-548839340-mercedes-benz-c200-cgi-elegance-blue-efficiency-2011-ganga-_JM#position=43&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,45.000.000,2011 | 83000 km,Mercedes-benz Clase C Cgi Elegance Blue Efficiency,MCO548839340,Mercedes-Benz,Clase C,CGI ELEGANCE BLUE EFFICIENCY,2011,1800 cc,83.000 km,4,Gasolina,RGR373
